trial	benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op
11	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.473358
12	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.497236
13	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.694214
14	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.969039
15	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.997874
16	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.780384
17	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.993759
18	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.936509
19	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.938362
20	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.775667
21	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.628447
22	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.501786
23	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.373338
24	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.491793
25	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.485391
26	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.763705
27	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.974784
28	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.998626
29	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.987733
30	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.009766	1	8000	86.966611
1	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	86.975659
2	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.003875
3	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.543505
4	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.278337
5	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.118921
6	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.236776
7	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.320643
8	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.186414
9	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.317495
10	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.418078
11	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.004722
12	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.130696
13	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.180604
14	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.439531
15	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	86.844860
16	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	86.948785
17	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	86.858511
18	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	86.967748
19	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.070454
20	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	86.844571
21	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	86.987885
22	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.347604
23	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.384205
24	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.338165
25	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.295336
26	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.265736
27	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.135846
28	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.284904
29	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.281752
30	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.019531	1	8000	87.289432
1	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.049805	1	8000	88.528464
2	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.049805	1	8000	88.504319
3	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.049805	1	8000	88.487211
4	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.049805	1	8000	88.356301
5	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.049805	1	8000	88.282908
