benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op	push_iterations	remove_next_iterations	remove_prev_iterations
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	596.900532	1.005579	1.024124	1.022527
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	608.584134	1.005756	1.026007	1.021514
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	550.588349	1.004996	1.022732	1.020994
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	660.701206	1.005295	1.027433	1.023939
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	593.621372	1.004965	1.023951	1.020267
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	593.018629	1.004763	1.024217	1.021174
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	590.888347	1.005067	1.025175	1.021939
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	590.140357	1.005692	1.027524	1.022769
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	591.802237	1.005442	1.027298	1.023488
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	592.628623	1.004649	1.023917	1.020350
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	590.874549	1.005127	1.026673	1.021801
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	672.725603	1.004688	1.024348	1.021295
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	671.425046	1.005335	1.026409	1.022791
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	671.848088	1.005406	1.026579	1.022521
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	671.286496	1.005374	1.026678	1.023662
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	670.777701	1.005013	1.025857	1.022106
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1109.948633	1.002932	1.017709	1.023196
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1123.580682	1.003415	1.018001	1.023603
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1094.934559	1.003610	1.020578	1.025699
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1105.178648	1.003650	1.019674	1.023745
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1171.424164	1.003407	1.017960	1.023730
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1103.646512	1.003584	1.020255	1.024666
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1028.803370	1.003521	1.019829	1.024576
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1166.077370	1.003336	1.018580	1.024231
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1136.364660	1.003930	1.018764	1.025799
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1142.724061	1.003421	1.019537	1.025142
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1306.711666	1.004139	1.022427	1.024887
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1147.310969	1.003389	1.020863	1.026234
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1188.134950	1.003483	1.019808	1.025202
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1135.664060	1.004205	1.019332	1.024257
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1044.890253	1.003446	1.019353	1.025250
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1064.586984	1.003673	1.019808	1.024814
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1238.832907	1.004859	1.020889	1.022742
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1053.203756	1.003728	1.020753	1.024129
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1169.834644	1.003277	1.019380	1.024349
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1097.888288	1.003712	1.020497	1.024000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1057.374419	1.004075	1.019970	1.025522
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1054.679052	1.004285	1.019995	1.024968
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1161.758746	1.003315	1.019464	1.024148
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1064.958151	1.003728	1.020214	1.024404
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1233.217681	1.004585	1.023181	1.024251
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1126.035155	1.003811	1.018463	1.023543
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1125.489780	1.003412	1.019222	1.023950
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1084.017245	1.003310	1.019343	1.024391
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1127.441570	1.003517	1.019044	1.024080
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1122.450645	1.003116	1.019900	1.026168
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2741.013031	1.005849	1.019688	1.027829
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2672.143329	1.005357	1.020252	1.028510
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2631.606959	1.005229	1.020467	1.028300
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3639.305920	1.008117	1.020268	1.020455
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2644.975801	1.004961	1.020489	1.029431
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2623.584079	1.005468	1.019731	1.027880
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2639.413977	1.005355	1.020306	1.028090
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2652.134326	1.005378	1.019402	1.027870
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2465.563703	1.005408	1.020444	1.029579
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2667.995365	1.005372	1.019633	1.028951
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2671.949901	1.005093	1.018354	1.027198
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2784.325502	1.005479	1.018737	1.024523
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2660.206562	1.005248	1.020126	1.028208
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2669.517554	1.004922	1.019592	1.027825
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2586.687860	1.005703	1.019733	1.027241
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2796.646674	1.005478	1.019791	1.027929
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2636.121413	1.005828	1.019941	1.028756
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2654.033840	1.005227	1.019512	1.029051
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2804.393193	1.005487	1.019522	1.027620
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2611.535346	1.005280	1.020484	1.028946
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2591.225808	1.005772	1.020832	1.030735
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2618.081491	1.005068	1.020004	1.027608
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2459.736117	1.005263	1.020298	1.029747
