benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op	push_iterations	remove_next_iterations	remove_prev_iterations
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1609.484564	1.002735	1.018059	1.032086
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1609.863677	1.003077	1.017798	1.030981
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1609.771897	1.003419	1.019407	1.032599
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1623.809393	1.002435	1.021382	1.038207
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1618.739733	1.002661	1.018524	1.032657
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1607.917434	1.002963	1.021585	1.035507
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1608.086575	1.003225	1.020261	1.033772
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1603.579340	1.003607	1.021402	1.034308
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1618.651426	1.002022	1.019786	1.032546
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1616.246694	1.001777	1.019181	1.031487
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1615.485133	1.002171	1.018870	1.030915
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1610.711739	1.001911	1.023209	1.033934
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1605.244140	1.002617	1.019736	1.032724
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1607.390559	1.003464	1.022499	1.033382
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1597.723407	1.003101	1.021225	1.030687
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1598.403520	1.003116	1.021521	1.029361
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	1601.131822	1.002510	1.021113	1.034274
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2141.123242	1.002533	1.038337	1.046168
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2124.783830	1.001877	1.038069	1.046424
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2192.101370	1.002256	1.045475	1.046465
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2177.014300	1.003076	1.053017	1.046886
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2155.901191	1.003575	1.059901	1.054348
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2144.056707	1.002866	1.067251	1.063563
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2130.789074	1.003298	1.053310	1.050394
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2145.827016	1.002912	1.052245	1.049950
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2122.223164	1.003281	1.060205	1.056020
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2127.229862	1.002705	1.060509	1.055867
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	2130.329031	1.003222	1.059451	1.057257
