benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op	push_iterations	remove_next_iterations	remove_prev_iterations
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	492.274007	1.002295	1.007583	1.013514
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	493.353028	1.002671	1.007177	1.013396
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	494.078008	1.002533	1.007087	1.013752
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	493.760210	1.002454	1.006839	1.012769
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	494.086588	1.002419	1.006527	1.012434
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	492.689352	1.002479	1.006300	1.012415
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	493.110741	1.002418	1.005970	1.012231
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	493.104238	1.002509	1.005982	1.011443
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	494.252723	1.002314	1.006523	1.012033
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	493.323982	1.002407	1.007054	1.011839
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	493.963986	1.002287	1.006400	1.012782
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	495.467727	1.002662	1.006764	1.012740
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	457.904584	1.002042	1.004539	1.009078
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	493.594415	1.002435	1.007257	1.014151
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	492.406070	1.002163	1.006612	1.012714
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	497.931201	1.002367	1.006866	1.012362
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1164.455398	1.000113	1.005328	1.008152
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1197.425059	1.001576	1.004622	1.006198
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1201.905297	1.001469	1.004473	1.006551
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1388.864681	1.002874	1.003157	1.004931
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1364.766957	1.002348	1.003598	1.005154
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1364.315064	1.002748	1.003776	1.005195
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1165.428831	1.000142	1.005585	1.008062
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1323.708577	1.002520	1.003751	1.005176
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1276.876015	1.002521	1.003318	1.005016
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1352.646353	1.002491	1.003985	1.005571
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1362.505854	1.002602	1.003270	1.004981
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1317.144691	1.002477	1.003317	1.005658
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1334.715561	1.002585	1.003658	1.005154
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1282.601014	1.002683	1.003684	1.005732
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1377.520144	1.002723	1.003592	1.005026
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1314.460215	1.002479	1.003468	1.005292
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1325.683342	1.002551	1.003582	1.005670
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1370.249858	1.002550	1.003544	1.004960
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1245.595815	1.002235	1.003915	1.005517
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1373.210900	1.002597	1.003579	1.005719
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1361.498255	1.002346	1.003976	1.004888
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1326.309291	1.002511	1.003825	1.005659
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1385.061869	1.002681	1.003198	1.005079
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1273.829733	1.001776	1.004123	1.005969
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1308.995599	1.002465	1.003785	1.005228
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1337.582888	1.002494	1.003629	1.004951
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1360.938897	1.002456	1.003515	1.005356
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1323.629996	1.002639	1.003647	1.005173
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1366.775244	1.002793	1.003498	1.004935
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	1296.917111	1.002474	1.003277	1.005606
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3498.450685	1.000011	1.002469	1.004054
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3355.802228	1.000584	1.002239	1.003032
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3389.873784	1.000476	1.002586	1.003937
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3400.509480	1.000462	1.002341	1.003643
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3152.902804	1.001360	1.002594	1.003504
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3478.575080	1.000162	1.002372	1.003665
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3364.282004	1.000722	1.002451	1.003453
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2880.704120	1.002457	1.002800	1.003983
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3260.895228	1.000928	1.002400	1.003322
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3268.703977	1.000836	1.002154	1.003431
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3075.596639	1.001629	1.002902	1.003355
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3120.463897	1.001368	1.002546	1.003180
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3408.609781	1.000426	1.002599	1.003667
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3331.001498	1.000732	1.002315	1.003709
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3458.124886	1.000236	1.002685	1.003532
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3514.756466	1.000082	1.002177	1.002993
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3345.077875	1.000498	1.002386	1.003636
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	2814.392885	1.002686	1.003056	1.002959
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	3383.586059	1.000551	1.002155	1.003099
